URL,PART_NO,ADAPTABLE_FOR,ORIG_PART_NO
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-1-F/,652-gi-1-f,,
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c1695/c2860/a1434KVS/,1434kvs,Kverneland,KK035149
https://www.industriehof.com/en/catalogue/c4/c62/c124/c1914/a1434KV/,1434kv,"Kverneland, Maschio / Gaspardo","Schraube: KK013332 / KK013333 - Mutter: KK016015, EVO000158R"
https://www.industriehof.com/en/catalogue/c13/c187/c2168/c2169/a652-GI-12/,652-gi-12,"Claas, Renault",
https://www.industriehof.com/en/catalogue/c13/c187/c2168/c2170/a652-GI-12/,652-gi-12,"Claas, Renault",
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-1-M/,652-gi-1-m,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-12-A/,652-gi-12-a,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0134/,38.0134,Vogel u. Noot,PR0.002.04
https://www.industriehof.com/en/catalogue/c8/c159/c1764/a31-0781-3-80/,31-0781-3-80,,
https://www.industriehof.com/en/catalogue/c13/c189/c925/c926/a1435-2/,1435-2,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0133/,38.0133,Vogel u. Noot,PR0.001.04
https://www.industriehof.com/en/catalogue/c12/c182/c2972/a38.0142/,38.0142,Vogel u. Noot,PR3.002.04
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3448/a38.0134/,38.0134,Vogel u. Noot,PR0.002.04
https://www.industriehof.com/en/catalogue/c13/c189/c925/c926/a1435-3/,1435-3,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-12-F/,652-gi-12-f,,
https://www.industriehof.com/en/catalogue/c11/c181/c984/c3407/a1440148/,1440148,,
https://www.industriehof.com/en/catalogue/c4/c62/c1987/c4124/a101.47UW-12B/,101.47uw-12b,Nichols,
https://www.industriehof.com/en/catalogue/c7/c149/c2110/c2112/a14359338/,14359338,,
https://www.industriehof.com/en/catalogue/c12/c182/c2972/c3445/a38.0142/,38.0142,Vogel u. Noot,PR3.002.04
https://www.industriehof.com/en/catalogue/c12/c182/c3246/a43.0058/,43.0058,Niemeyer,026248
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-12-E/,652-gi-12-e,,
https://www.industriehof.com/en/catalogue/c13/c187/c2168/c2169/a652-GI-13/,652-gi-13,"Claas, Renault",
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c2308/c2310/a1435GB/,1435gb,Grégoire Besson,VI1012
https://www.industriehof.com/en/catalogue/c12/c182/c3246/a43.0079/,43.0079,Niemeyer,026224
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-13-A/,652-gi-13-a,,
https://www.industriehof.com/en/catalogue/c13/c187/c2168/c2170/a652-GI-13/,652-gi-13,"Claas, Renault",
https://www.industriehof.com/en/catalogue/c12/c182/c3246/c3332/a43.0058/,43.0058,Niemeyer,026248
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c1688/c4016/a1445ISO10/,1445iso10,"Krone, Kuhn-Huard",
https://www.industriehof.com/en/catalogue/c12/c182/c3246/c3332/a43.0079/,43.0079,Niemeyer,026224
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-13-F/,652-gi-13-f,,
https://www.industriehof.com/en/catalogue/c13/c187/c1114/a652-GI-13-E/,652-gi-13-e,,
https://www.industriehof.com/en/catalogue/c12/c182/c3246/a43.0080/,43.0080,Niemeyer,026223
https://www.industriehof.com/en/catalogue/c11/c181/c1686/c1687/c4021/a1445ISO10/,1445iso10,"Krone, Kuhn-Huard",
https://www.industriehof.com/en/catalogue/c11/c181/c989/c996/c3404/a1439VN/,1439vn,Vogel u. Noot,523733 / PK000005
https://www.industriehof.com/en/catalogue/c12/c182/c3246/c3332/a43.0080/,43.0080,Niemeyer,026223
https://www.industriehof.com/en/catalogue/c13/c187/c2171/c2342/a652-GI-2/,652-gi-2,,
https://www.industriehof.com/en/catalogue/c13/c186/c1110/c1113/a652-GI-2/,652-gi-2,,
https://www.industriehof.com/en/catalogue/c11/c181/c989/c996/c3404/a1448VN/,1448vn,Vogel u. Noot,523734 / PK000010
